ID 	 arg1 	 arg2
P10	{}	{SRC-PROP-DESC=[video, relevant], SRC-PROP-LABEL=[video], SUB-ITEM=[video]}
P1000	{SRC-PROP-DESC=[person, entity]}	{SRC-PROP-DESC=[record, notable], SRC-PROP-LABEL=[record]}
P1001	{SRC-PROP-DESC=[value]}	{SRC-PROP-DESC=[item], SRC-PROP-LABEL=[jurisdiction]}
P1002	{SRC-PROP-DESC=[cylinders]}	{SRC-PROP-DESC=[configuration], SRC-PROP-LABEL=[engine, configuration]}
P1003	{SRC-PROP-DESC=[National, Library], INST-FACET=[authority control]}	{SRC-PROP-DESC=[authority, control, identifier], SRC-PROP-LABEL=[NLR, identifier]}
P1004	{SRC-PROP-DESC=[encyclopedia, MusicBrainz, open, music], INST-FACET=[authority control], SRC-PROP-LABEL=[ID, place]}	{SRC-PROP-DESC=[place, identifier], SRC-PROP-LABEL=[MusicBrainz]}
P1005	{SRC-PROP-DESC=[Library, National], INST-FACET=[authority control]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[TBN, identifier]}
P1006	{SRC-PROP-DESC=[names, Author], INST-FACET=[authority control], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[National, Thesaurus], SRC-PROP-LABEL=[NTA]}
P1007	{SRC-PROP-DESC=[group, person], SRC-PROP-LABEL=[number, latform]}	{SRC-PROP-DESC=[number], SRC-PROP-LABEL=[Lattes]}
P101	{SRC-PROP-DESC=[item], SRC-PROP-LABEL=[work]}	{SRC-PROP-DESC=[fields], SRC-PROP-LABEL=[field]}
P1010	{SRC-PROP-DESC=[Iran], SRC-PROP-LABEL=[ID]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Iran]}
P1011	{INST-FACET=[qualifier]}	{}
P1012	{INST-FACET=[qualifier]}	{}
P1013	{INST-FACET=[qualifier]}	{SRC-PROP-LABEL=[criterion]}
P1014	{SRC-PROP-DESC=[Institute, Getty, Research], INST-FACET=[authority control]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[AAT, identifier]}
